Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Percent,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram
2018-01-01,1063.4425048828125,1083.2192350699193,1059.1816211560729,1078.194654324397,1351760,,,,,,,,
2018-01-02,1057.65380859375,1073.0893748500007,1053.2321788771071,1069.23045875186,1920290,-0.0054433561405375,-0.5443356140537592,,,,,,
2018-01-03,1060.648681640625,1072.84840204998,1057.6540513633315,1057.9756441347124,1257120,0.0028316194037603,0.283161940376031,,,,,,
2018-01-04,1068.0648193359375,1070.03441518073,1061.1911555511372,1065.210819019134,913082,0.0069920774179825,0.6992077417982578,,,,,,
2018-01-05,1080.9681396484375,1085.1084136415166,1065.2110746990254,1065.2110746990254,1153706,0.0120810273673488,1.208102736734884,,,,,,
2018-01-08,1091.09765625,1096.102216894728,1078.0137272477698,1085.309378817508,1242220,0.0093707818297557,0.9370781829755704,,,,,,
2018-01-09,1088.9271240234375,1093.7507214720465,1075.8833322167595,1091.338922747742,2149396,-0.0019893106855553,-0.1989310685555301,,,,,,
2018-01-10,1128.158935546875,1131.9373804458207,1083.158718635501,1089.730908518686,3365850,0.0360279495825959,3.602794958259592,,,,,,
2018-01-11,1121.6873779296875,1134.3090851962022,1118.351036769785,1129.52572369913,2520744,-0.005736388210275,-0.5736388210275001,,,,,,
2018-01-12,1115.9993896484375,1127.5156870909336,1101.6089737296024,1127.5156870909336,3360314,-0.005070921179258,-0.5070921179258003,,,,,,
2018-01-15,1103.8399658203125,1128.721646624928,1099.398217491051,1116.3209439806606,1457214,-0.0108955470235118,-1.089554702351181,,,,,,
2018-01-16,1145.9459228515625,1150.2870813570232,1105.6286742838822,1107.8193714833894,4267752,0.0381449832720626,3.8144983272062616,,,,,,
2018-01-17,1161.260986328125,1175.7518968550949,1150.4882655604404,1153.6437415296143,4280806,0.0133645603786018,1.3364560378601895,,,,,,
2018-01-18,1173.0185546875,1178.9676781801174,1152.8599751010115,1164.4968849941356,2209478,0.0101248285250261,1.0124828525026164,,,82.54368666383921,,,
2018-01-19,1189.5391845703125,1198.6638022032798,1167.1696955769755,1177.982650595348,1820000,0.0140838606659667,1.4083860665966783,,,84.69432129646299,,,
2018-01-22,1255.658203125,1263.031649136002,1177.3306971200586,1193.0445565272053,4367110,0.0555837246997215,5.55837246997215,,,90.00285498995365,,,
2018-01-23,1249.856201171875,1266.1140412020343,1245.0413331590223,1255.0739886564145,3239610,-0.0046206857397063,-0.4620685739706309,,,87.14652604590917,,,
2018-01-24,1279.108154296875,1313.1346829464733,1242.0596313348044,1245.0211287070022,5621538,0.0234042549035427,2.34042549035427,,,89.03578377625442,,,
2018-01-25,1257.531982421875,1281.2035041249717,1241.3950360381298,1279.269470763084,3833844,-0.0168681372271138,-1.6868137227113889,,,79.72724233964779,,,
2018-01-29,1288.878662109375,1299.414964254886,1257.9142692724818,1261.7016719912426,3141060,0.0249271431070321,2.4927143107032146,1149.0643127441406,,82.5771911450782,,,
2018-01-30,1270.344970703125,1290.873702556528,1266.658197717545,1281.2841973803154,1574758,-0.0143797022567802,-1.4379702256780202,1159.4094360351562,,75.79285208451415,,,
